NumOfGroups,GapNumSeats,MinGroupSize,MaxGroupSize,NumInfected,numOfPeople,numSusceptiblePeople,numExposedPeople_Sitting,numExposedPeople_Walking,numPeopleExposedByOthers_Sitting,numPeopleExposedByOthers_Walking,numPeopleContactedByOthers_Sitting,numPeopleContactedByOthers_Walking,mean_inf_contacts_sitting,mean_inf_contacts_walking,mean_all_contacts_sitting,mean_all_contacts_walking,mean_other_inf_contacts_sitting,mean_other_inf_contacts_walking,mean_other_contacts_sitting,mean_other_contacts_walking,ArrivalTimeEnd,ContactDistance
50,4,1,4,10,132,52,15,53,5,50,71,128,3.0909090909090913,4.075757575757576,46.40909090909091,50.36363636363637,0.5909090909090909,1.6363636363636365,9.151515151515152,19.75757575757576,8.610000000000216,33.0
50,4,1,5,10,141,73,8,42,1,37,44,138,1.6453900709219855,1.5957446808510638,44.42553191489362,46.368794326241144,0.15602836879432624,0.8723404255319149,5.418439716312057,15.063829787234043,11.199999999999823,33.0
50,4,1,6,10,166,84,18,56,6,42,64,160,2.4578313253012047,2.897590361445783,47.373493975903614,40.7710843373494,0.2891566265060241,0.8674698795180723,5.457831325301205,16.349397590361445,10.459999999999935,33.0
50,4,1,7,10,215,103,21,76,6,67,106,207,2.4837209302325585,2.5860465116279068,54.91162790697675,67.50697674418605,0.3906976744186047,1.6418604651162791,10.186046511627907,28.660465116279067,11.694999999999748,33.0
50,4,1,8,10,183,93,21,59,9,43,90,173,3.1912568306010933,3.3060109289617485,52.819672131147534,59.20218579234973,0.8961748633879781,1.2240437158469946,10.382513661202186,18.207650273224047,10.994999999999855,33.0
100,4,1,4,10,242,163,15,37,6,30,114,225,1.4834710743801651,1.4545454545454546,43.223140495867774,44.47933884297521,0.3677685950413223,0.4669421487603306,8.553719008264462,11.438016528925619,19.294999999998602,33.0
100,4,1,5,10,267,162,19,47,9,39,135,246,1.6142322097378277,1.3220973782771537,46.95880149812734,41.36329588014981,0.4906367041198502,0.41198501872659177,9.408239700374533,13.438202247191011,16.76999999999898,33.0
100,4,1,6,10,369,241,20,85,10,75,211,366,1.3224932249322494,1.4525745257452574,56.02710027100271,58.585365853658544,0.34688346883468835,0.6666666666666666,12.504065040650403,23.87533875338753,14.764999999999285,33.0
100,4,1,7,10,380,232,23,92,11,86,197,379,1.5157894736842106,1.4921052631578948,55.6,62.16842105263158,0.4105263157894737,0.9842105263157894,12.710526315789476,28.578947368421048,14.444999999999332,33.0
100,4,1,8,10,464,305,27,84,13,72,280,461,1.2543103448275863,1.2133620689655171,61.120689655172406,66.40948275862068,0.3491379310344828,0.5603448275862069,15.340517241379311,34.71551724137931,16.639999999999002,33.0
150,4,1,4,10,374,255,19,57,11,49,199,355,0.9679144385026738,1.3262032085561497,45.63101604278075,45.032085561497325,0.32620320855614976,0.4304812834224599,10.593582887700537,14.46524064171123,23.034999999998032,33.0
150,4,1,5,10,466,337,20,73,7,64,280,462,1.0858369098712446,0.7510729613733905,52.472103004291846,54.008583690987116,0.24892703862660945,0.4785407725321889,11.854077253218884,19.828326180257513,20.28499999999845,33.0
150,4,1,6,10,551,384,21,103,7,94,296,544,0.9382940108892922,1.1905626134301268,53.97096188747732,68.5480943738657,0.17604355716878406,0.7132486388384754,10.642468239564428,33.93829401088929,21.069999999998327,33.0
150,4,1,7,10,555,410,17,80,8,72,373,550,0.6954954954954955,0.7441441441441441,60.12612612612614,66.62342342342342,0.2108108108108108,0.36576576576576575,20.738738738738736,32.03603603603604,20.954999999998343,33.0
150,4,1,8,10,647,434,23,128,12,116,400,637,0.8176197836166924,1.0123647604327666,61.616692426584244,97.483771251932,0.3276661514683153,0.768160741885626,20.39258114374034,49.38176197836167,21.59499999999825,33.0
200,4,1,4,10,512,379,34,65,22,51,360,496,1.576171875,1.537109375,52.9453125,43.62109375,0.873046875,0.33984375,18.66015625,15.2109375,28.24999999999724,33.0
200,4,1,5,10,597,456,19,60,6,47,390,585,0.7872696817420436,0.8157453936348409,52.89782244556114,49.497487437185924,0.13400335008375208,0.24958123953098826,13.675041876046901,18.371859296482416,28.04999999999727,33.0
200,4,1,6,10,689,566,21,59,8,45,494,671,0.7750362844702468,0.8214804063860668,57.898403483309146,50.46153846153846,0.20899854862119013,0.22351233671988388,16.052249637155303,21.564586357039186,28.884999999997145,33.0
200,4,1,7,10,712,554,22,55,12,45,495,699,0.625,0.5800561797752809,63.28089887640449,52.575842696629216,0.21207865168539325,0.17134831460674158,26.615168539325843,21.43258426966292,28.91499999999714,33.0
200,4,1,8,10,895,673,27,143,16,115,655,890,0.6435754189944134,1.1620111731843576,67.76312849162011,92.41787709497207,0.2748603351955307,0.5910614525139665,25.05027932960893,44.156424581005595,26.814999999997454,33.0
250,4,1,4,10,645,493,18,60,11,54,447,632,0.6558139534883721,0.3209302325581395,50.8,39.49147286821705,0.3302325581395349,0.14418604651162792,16.63875968992248,14.254263565891474,35.18499999999699,33.0
250,4,1,5,10,730,558,20,71,12,58,502,715,0.5835616438356165,0.6164383561643836,54.04383561643836,48.545205479452065,0.2136986301369863,0.252054794520548,16.350684931506848,19.31232876712329,34.139999999996355,33.0
250,4,1,6,10,887,747,20,64,9,55,615,878,0.6200676437429538,0.237880496054115,57.42051860202931,57.481397970687716,0.15332581736189402,0.18038331454340475,15.578354002254793,28.93348365276212,33.059999999996506,33.0
250,4,1,7,10,1043,818,28,125,13,104,850,1036,0.5906040268456376,1.221476510067114,72.70949185043145,95.46500479386387,0.15915627996164908,0.4947267497603068,35.186960690316404,52.65004793863854,31.179999999996795,33.0
250,4,1,8,10,1106,844,35,115,23,102,865,1102,0.6491862567811935,0.7260397830018083,71.68354430379746,77.13019891500905,0.32640144665461124,0.28390596745027125,32.46835443037975,39.607594936708864,34.634999999996666,33.0
300,4,1,4,10,736,589,21,64,14,58,525,704,0.53125,0.5394021739130435,53.97554347826087,44.28804347826087,0.2459239130434783,0.22010869565217392,21.55434782608696,16.997282608695652,37.54999999999842,33.0
300,4,1,5,10,935,783,23,62,10,51,757,928,0.5700534759358289,0.29304812834224603,61.06310160427808,46.1668449197861,0.17647058823529413,0.14759358288770053,23.482352941176465,19.74117647058824,40.13499999999999,33.0
300,4,1,6,10,1049,838,30,107,17,89,791,1039,0.6043851286939943,0.4489990467111535,60.42897998093422,59.46425166825547,0.2326024785510009,0.2459485224022879,18.943755958055288,25.69494756911344,41.51500000000083,33.0
300,4,1,7,10,1221,969,47,105,38,89,1002,1217,0.9475839475839476,0.6977886977886978,77.37755937755938,76.22604422604422,0.7264537264537264,0.3153153153153153,42.21457821457822,36.19164619164619,38.24999999999885,33.0
300,4,1,8,10,1342,1044,35,136,24,120,1146,1340,0.5618479880774963,0.6385991058122206,85.63338301043221,108.70789865871834,0.315946348733234,0.35171385991058124,48.630402384500755,54.871833084947845,41.04000000000054,33.0
